timestamp,player,ai,result,agent
2025-05-19T21:26:22.412391,r,r,draw,AlwaysRockAgent
2025-05-19T21:26:26.862703,p,r,win,AlwaysRockAgent
2025-05-19T21:26:27.280763,s,r,lose,svm_classifier
2025-05-19T21:26:27.851313,r,r,draw,PatternMatchAgent
2025-05-19T21:26:29.303373,p,p,draw,PatternMatchAgent
2025-05-19T21:26:29.745723,s,s,draw,PatternMatchAgent
2025-05-19T21:26:30.348575,r,r,draw,PatternMatchAgent
2025-05-19T21:26:32.321368,p,p,draw,PatternMatchAgent
2025-05-19T21:26:32.929684,s,r,lose,PatternMatchAgent
2025-05-19T21:26:34.430688,r,r,draw,BayesPredictorAgent
2025-05-19T21:26:35.467029,p,s,lose,PatternMatchAgent
2025-05-19T21:26:35.964365,s,r,lose,PatternMatchAgent
2025-05-19T21:26:36.654577,r,p,lose,lstm_sequence
2025-05-19T21:26:37.346205,r,s,win,PatternMatchAgent
2025-05-19T21:26:38.485365,p,p,draw,BayesPredictorAgent
2025-05-19T21:26:38.931373,s,r,lose,BayesPredictorAgent
2025-05-19T21:26:39.749268,r,p,lose,BayesPredictorAgent
2025-05-19T21:26:40.392371,p,s,lose,BayesPredictorAgent
2025-05-19T21:26:40.932240,s,r,lose,BayesPredictorAgent
2025-05-19T21:26:41.582691,r,p,lose,BayesPredictorAgent
2025-05-19T21:26:42.225251,p,s,lose,BayesPredictorAgent
2025-05-19T21:26:42.773310,s,r,lose,BayesPredictorAgent
2025-05-19T21:26:43.471414,r,r,draw,DecayWeightedFreqAgent
2025-05-19T21:26:44.267069,p,p,draw,DecayWeightedFreqAgent
2025-05-19T21:26:44.885229,s,s,draw,DecayWeightedFreqAgent
2025-05-19T21:26:45.715709,r,r,draw,DecayWeightedFreqAgent
2025-05-19T21:26:47.067015,p,s,lose,knn_predictor
2025-05-19T21:26:48.178581,s,s,draw,DecayWeightedFreqAgent
2025-05-19T21:26:50.060229,r,r,draw,DecayWeightedFreqAgent
2025-05-19T21:26:51.206729,p,p,draw,DecayWeightedFreqAgent
2025-05-19T21:26:51.729655,s,s,draw,DecayWeightedFreqAgent
2025-05-19T21:26:52.978670,r,r,draw,DecayWeightedFreqAgent
2025-05-19T21:26:56.240430,r,p,lose,DecayWeightedFreqAgent
2025-05-19T21:26:57.180700,p,p,draw,DecayWeightedFreqAgent
2025-05-19T21:26:57.618840,s,r,lose,AlwaysRockAgent
2025-05-19T21:26:58.235223,r,p,lose,DecayWeightedFreqAgent
2025-05-19T21:26:58.950240,p,p,draw,PatternMatchAgent
2025-05-19T21:26:59.376946,s,p,win,DecayWeightedFreqAgent
2025-05-19T21:26:59.917522,r,p,lose,knn_predictor
2025-05-19T21:27:00.662597,p,s,lose,knn_predictor
2025-05-19T21:27:01.085654,s,r,lose,knn_predictor
2025-05-19T21:27:01.717836,r,p,lose,knn_predictor
2025-05-19T21:27:02.419380,p,s,lose,knn_predictor
2025-05-19T21:27:02.966835,s,r,lose,knn_predictor
2025-05-19T21:27:04.119133,r,s,win,AlwaysScissorsAgent
2025-05-19T21:27:04.836973,p,s,lose,knn_predictor
2025-05-19T21:27:05.452559,s,r,lose,knn_predictor
2025-05-19T21:27:06.829154,r,p,lose,knn_predictor
2025-05-19T21:27:07.695188,p,s,lose,AlwaysScissorsAgent
2025-05-19T21:27:08.671637,s,r,lose,knn_predictor
2025-05-19T21:27:09.415191,r,p,lose,knn_predictor
2025-05-19T21:27:10.085620,p,s,lose,knn_predictor
2025-05-19T21:27:10.605316,s,r,lose,knn_predictor
