timestamp,player,ai,result,agent
2025-05-24T00:03:13.786884,p,r,win,AlwaysRockAgent
2025-05-24T00:03:15.816054,p,r,win,AlwaysRockAgent
2025-05-24T00:03:17.827196,r,r,draw,transformer_agent
2025-05-24T00:03:19.848855,r,r,draw,transformer_agent
2025-05-24T00:03:21.857603,s,p,win,transformer_agent
2025-05-24T00:03:23.860906,s,s,draw,TransitionMatrixAgent
2025-05-24T00:03:25.890766,r,r,draw,TransitionMatrixAgent
2025-05-24T00:03:27.903243,p,p,draw,TransitionMatrixAgent
2025-05-24T00:03:29.912128,r,s,win,TransitionMatrixAgent
2025-05-24T00:03:31.921681,p,p,draw,TransitionMatrixAgent
2025-05-24T00:03:33.934978,s,p,win,TransitionMatrixAgent
2025-05-24T00:03:35.946628,s,p,win,svm_classifier
2025-05-24T00:03:37.959101,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:39.974073,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:42.013601,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:44.018300,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:46.036277,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:48.050500,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:50.076980,s,r,lose,TransitionMatrixAgent
2025-05-24T00:03:52.140202,s,r,lose,attention_agent
2025-05-24T00:03:54.158818,s,r,lose,attention_agent
2025-05-24T00:03:56.168946,s,r,lose,attention_agent
2025-05-24T00:03:58.220254,p,r,win,attention_agent
2025-05-24T00:04:00.220165,s,p,win,TransitionMatrixAgent
2025-05-24T00:04:02.221413,s,r,lose,TransitionMatrixAgent
2025-05-24T00:04:04.230521,r,r,draw,TransitionMatrixAgent
2025-05-24T00:04:06.241734,r,s,win,TransitionMatrixAgent
2025-05-24T00:04:08.290989,r,s,win,TransitionMatrixAgent
2025-05-24T00:04:10.322647,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:12.337901,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:14.390550,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:16.391742,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:18.414909,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:20.437295,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:22.443892,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:24.482731,r,r,draw,FrequencyCounterAgent
2025-05-24T00:04:26.549135,r,r,draw,PatternMatchAgent
2025-05-24T00:04:28.566879,r,p,lose,FrequencyCounterAgent
2025-05-24T00:04:30.573904,r,p,lose,FrequencyCounterAgent
2025-05-24T00:04:32.606666,r,r,draw,AlwaysRockAgent
2025-05-24T00:04:34.622387,r,p,lose,FrequencyCounterAgent
2025-05-24T00:04:36.640790,r,p,lose,TransitionMatrixAgent
2025-05-24T00:04:38.654201,s,p,win,FrequencyCounterAgent
2025-05-24T00:06:14.317015,r,r,draw,MarkovChainAgent
2025-05-24T00:06:16.313596,p,p,draw,MarkovChainAgent
2025-05-24T00:06:17.013105,s,p,win,MarkovChainAgent
2025-05-24T00:06:24.817791,r,r,draw,MarkovChainAgent
2025-05-24T00:06:26.292047,r,p,lose,MarkovChainAgent
2025-05-24T00:06:26.959045,p,p,draw,MarkovChainAgent
2025-05-24T00:06:27.454044,s,r,lose,MarkovChainAgent
2025-05-24T00:06:27.844046,r,r,draw,MarkovChainAgent
