timestamp,player,ai,result,agent
2025-05-24T17:01:28.142703,r,p,lose,Agent24
2025-05-24T17:01:29.225949,p,s,lose,Agent24
2025-05-24T17:01:29.806149,s,p,win,Agent24
2025-05-24T17:01:30.272556,r,p,lose,Agent24
2025-05-24T17:01:30.900689,s,r,lose,Agent24
2025-05-24T17:01:31.403357,r,p,lose,Agent24
2025-05-24T17:01:31.886574,s,s,draw,Agent24
2025-05-24T17:01:32.997843,p,r,win,Agent37
2025-05-24T17:01:33.458880,s,r,lose,Agent24
2025-05-24T17:01:33.807950,r,p,lose,Agent24
2025-05-24T17:01:34.261109,s,p,win,Agent29
2025-05-24T17:01:35.009483,p,r,win,Agent24
2025-05-24T17:01:35.518119,s,r,lose,Agent16
2025-05-24T17:01:36.092234,r,s,win,Agent16
2025-05-24T17:01:36.679961,p,r,win,Agent24
2025-05-24T17:01:37.133573,s,p,win,Agent6
2025-05-24T17:01:37.546766,r,p,lose,Agent24
2025-05-24T17:01:38.193486,s,r,lose,Agent35
2025-05-24T17:01:39.128300,r,r,draw,Agent35
2025-05-24T17:01:39.688553,p,r,win,Agent32
2025-05-24T17:01:40.061659,s,r,lose,Agent35
2025-05-24T17:01:40.436723,r,r,draw,Agent35
2025-05-24T17:01:41.078079,p,r,win,Agent35
2025-05-24T17:01:41.452219,s,r,lose,Agent35
2025-05-24T17:01:41.854165,r,r,draw,Agent35
2025-05-24T17:01:42.558340,p,r,win,Agent35
2025-05-24T17:01:42.953492,s,r,lose,Agent12
2025-05-24T17:01:43.339640,r,p,lose,Agent12
2025-05-24T17:01:43.960640,p,r,win,Agent17
2025-05-24T17:01:44.310261,s,s,draw,Agent19
2025-05-24T17:01:44.791474,r,r,draw,Agent35
2025-05-24T17:01:45.574897,s,s,draw,Agent12
2025-05-24T17:01:46.276492,r,p,lose,Agent12
2025-05-24T17:01:46.826647,p,r,win,Agent12
2025-05-24T17:01:47.319352,s,r,lose,Agent10
2025-05-24T17:01:48.088096,r,p,lose,Agent10
2025-05-24T17:01:48.789187,p,r,win,Agent10
2025-05-24T17:01:49.276906,s,s,draw,Agent19
2025-05-24T17:01:50.309031,r,r,draw,Agent19
2025-05-24T17:01:51.024384,p,p,draw,Agent19
2025-05-24T17:01:51.584093,s,r,lose,Agent31
2025-05-24T17:01:52.029808,r,s,win,Agent24
2025-05-24T17:01:52.543557,s,p,win,Agent19
2025-05-24T17:01:53.214085,p,p,draw,Agent31
2025-05-24T17:01:53.658290,s,r,lose,Agent7
2025-05-24T17:01:55.475645,r,p,lose,Agent7
2025-05-24T17:01:57.048483,s,s,draw,Agent7
2025-05-24T17:01:57.049483,r,p,lose,Agent7
2025-05-24T17:01:57.754484,r,r,draw,Agent8
2025-05-24T17:01:58.546619,p,s,lose,Agent7
2025-05-24T17:01:58.940824,s,r,lose,Agent35
2025-05-24T17:01:59.611456,r,p,lose,Agent38
2025-05-24T17:02:00.033553,s,s,draw,Agent7
2025-05-24T17:02:00.439697,r,p,lose,Agent7
2025-05-24T17:02:00.923333,s,s,draw,Agent7
2025-05-24T17:02:01.369494,r,p,lose,Agent7
2025-05-24T17:02:01.762847,s,s,draw,Agent7
2025-05-24T17:02:02.180044,r,p,lose,Agent7
2025-05-24T17:02:02.591182,s,s,draw,Agent7
2025-05-24T17:02:03.028930,r,p,lose,Agent7
2025-05-24T17:02:03.414127,s,p,win,Agent2
2025-05-24T17:02:03.865690,r,p,lose,Agent27
2025-05-24T17:02:05.596858,s,r,lose,Agent15
2025-05-24T17:02:06.231466,r,p,lose,Agent7
2025-05-24T17:02:06.868770,s,r,lose,Agent7
2025-05-24T17:02:07.955811,r,p,lose,Agent7
2025-05-24T17:02:08.709226,s,r,lose,Agent7
2025-05-24T17:02:10.244571,p,p,draw,Agent7
2025-05-24T17:02:10.864619,p,r,win,Agent7
2025-05-24T17:02:12.169756,p,r,win,Agent8
2025-05-24T17:02:13.458115,s,r,lose,Agent15
2025-05-24T17:02:13.960919,r,p,lose,Agent25
2025-05-24T17:02:14.578149,s,r,lose,Agent15
2025-05-24T17:06:08.995100,s,r,lose,Agent1
2025-05-24T17:06:18.983283,r,r,draw,Agent1
2025-05-24T17:06:23.486990,r,r,draw,Agent1
2025-05-24T17:06:27.599446,r,r,draw,Agent1
2025-05-24T17:06:32.530734,s,r,lose,Agent1
2025-05-24T17:06:36.165171,r,r,draw,Agent1
2025-05-24T17:06:40.959864,r,r,draw,Agent1
2025-05-24T17:06:45.421325,s,r,lose,Agent1
2025-05-24T17:06:55.648507,r,r,draw,Agent1
2025-05-24T17:06:59.096650,p,r,win,Agent1
2025-05-24T17:07:08.892495,p,r,win,Agent1
2025-05-24T17:07:12.824833,p,p,draw,Agent28
2025-05-24T17:07:14.293362,s,s,draw,Agent28
2025-05-24T17:07:15.456720,r,p,lose,Agent15
2025-05-24T17:07:17.060323,p,r,win,Agent15
2025-05-24T17:07:18.140194,s,p,win,Agent17
2025-05-24T17:07:19.169958,r,p,lose,Agent38
2025-05-24T17:07:22.590731,p,r,win,Agent28
2025-05-24T17:07:23.529664,s,r,lose,Agent38
2025-05-24T17:07:27.587450,s,p,win,Agent38
2025-05-24T17:07:31.886399,s,r,lose,Agent1
2025-05-24T17:07:32.943923,r,r,draw,Agent1
2025-05-24T17:07:34.181374,s,r,lose,Agent1
2025-05-24T17:07:37.424004,p,r,win,Agent1
2025-05-24T17:07:38.519856,p,r,win,Agent1
2025-05-24T17:07:41.897065,p,r,win,Agent1
2025-05-24T17:07:43.372718,r,r,draw,Agent1
2025-05-24T17:07:47.239551,s,r,lose,Agent1
2025-05-24T17:07:50.016819,r,p,lose,Agent15
2025-05-24T17:07:55.445158,p,r,win,Agent1
2025-05-24T17:07:58.708098,p,s,lose,Agent22
2025-05-24T17:08:00.675109,p,s,lose,Agent22
2025-05-24T17:08:02.581311,r,p,lose,Agent6
2025-05-24T17:08:05.075666,s,r,lose,Agent12
2025-05-24T17:08:09.939912,p,p,draw,Agent6
2025-05-24T17:08:12.169726,p,r,win,Agent6
2025-05-24T17:08:14.146836,p,r,win,Agent12
2025-05-24T17:08:16.553084,s,r,lose,Agent1
2025-05-24T17:11:06.590554,s,r,lose,Agent1
2025-05-24T17:11:09.949816,s,r,lose,Agent1
2025-05-24T17:11:12.598244,p,r,win,Agent20
2025-05-24T17:11:15.760254,p,r,win,Agent1
2025-05-24T17:11:18.141422,p,s,lose,Agent31
2025-05-24T17:11:24.194225,r,s,win,Agent35
2025-05-24T17:11:26.437152,r,r,draw,Agent31
2025-05-24T17:11:29.682297,r,r,draw,Agent31
2025-05-24T17:11:34.428683,r,r,draw,Agent31
2025-05-24T17:11:38.023056,s,p,win,Agent31
2025-05-24T17:11:40.447771,p,p,draw,Agent31
2025-05-24T17:11:41.542634,s,s,draw,Agent31
2025-05-24T17:11:43.934037,r,p,lose,Agent31
2025-05-24T17:11:48.349806,s,r,lose,Agent31
2025-05-24T17:11:54.116800,r,p,lose,Agent31
2025-05-24T17:11:56.031131,p,r,win,Agent31
2025-05-24T17:11:57.178120,p,r,win,Agent31
2025-05-24T17:11:58.247805,p,s,lose,Agent31
2025-05-24T17:11:59.235109,p,r,win,Agent10
2025-05-24T17:12:00.443545,r,s,win,Agent31
2025-05-24T17:12:01.617993,s,r,lose,Agent31
2025-05-24T17:12:03.992370,s,p,win,Agent31
2025-05-24T17:12:05.338350,r,p,lose,Agent31
2025-05-24T17:12:06.684647,p,r,win,Agent31
2025-05-24T17:12:07.762140,p,r,win,Agent1
2025-05-24T17:12:16.662803,s,s,draw,Agent31
2025-05-24T17:12:18.569420,r,p,lose,Agent31
2025-05-24T17:12:20.748799,p,r,win,Agent38
2025-05-24T17:12:22.461278,p,s,lose,Agent35
2025-05-24T17:12:24.829062,p,s,lose,Agent31
2025-05-24T17:12:27.585762,r,r,draw,Agent10
2025-05-24T17:12:29.325176,r,r,draw,Agent31
2025-05-24T17:12:30.497279,r,p,lose,Agent31
2025-05-24T17:12:32.032291,r,p,lose,Agent31
2025-05-24T17:12:33.100835,s,p,win,Agent31
2025-05-24T17:12:34.779111,p,p,draw,Agent31
2025-05-24T17:12:37.959843,p,r,win,Agent31
2025-05-24T17:12:42.648364,p,s,lose,Agent31
2025-05-24T17:12:44.727926,p,s,lose,Agent31
2025-05-24T17:12:46.045543,p,s,lose,Agent31
2025-05-24T17:12:47.610556,s,s,draw,Agent31
2025-05-24T17:12:48.750481,r,p,lose,Agent31
2025-05-24T17:12:53.930920,s,r,lose,Agent31
2025-05-24T17:12:56.930652,p,p,draw,Agent31
2025-05-24T17:12:59.902977,r,s,win,Agent31
2025-05-24T17:13:02.590096,s,r,lose,Agent5
2025-05-24T17:13:08.506857,p,p,draw,Agent5
2025-05-24T17:13:09.782936,p,s,lose,Agent5
2025-05-24T17:13:11.861200,r,p,lose,Agent6
2025-05-24T17:13:12.917476,r,r,draw,Agent12
2025-05-24T17:13:14.433006,s,s,draw,Agent3
2025-05-24T17:13:15.745782,s,s,draw,Agent21
2025-05-24T17:13:17.118666,s,s,draw,Agent30
2025-05-24T17:13:18.447260,s,s,draw,Agent3
2025-05-24T17:13:19.638152,s,s,draw,Agent3
2025-05-24T17:13:21.858583,p,s,lose,Agent3
2025-05-24T17:13:23.130238,r,s,win,Agent3
2025-05-24T17:13:25.044209,r,r,draw,Agent5
2025-05-24T17:13:27.416519,p,r,win,Agent5
2025-05-24T17:13:28.425759,s,r,lose,Agent6
2025-05-24T17:13:30.490223,p,p,draw,Agent25
2025-05-24T17:13:34.940028,p,r,win,Agent6
2025-05-24T17:13:38.430728,s,s,draw,Agent12
2025-05-24T17:13:40.518577,r,p,lose,Agent12
2025-05-24T17:13:41.606516,r,r,draw,Agent12
2025-05-24T17:13:43.249486,p,r,win,Agent17
2025-05-24T17:13:43.700090,s,r,lose,Agent12
2025-05-24T17:13:45.863276,s,r,lose,Agent23
2025-05-24T17:13:46.742746,p,r,win,Agent12
2025-05-24T17:13:48.169946,r,r,draw,Agent21
2025-05-24T17:13:52.886078,p,r,win,Agent12
2025-05-24T17:13:54.029650,r,s,win,Agent21
2025-05-24T17:13:55.520707,r,s,win,Agent22
2025-05-24T17:13:56.959233,p,r,win,Agent23
2025-05-24T17:13:59.744922,s,p,win,Agent25
2025-05-24T17:14:02.055058,p,p,draw,Agent11
2025-05-24T17:14:04.765308,r,s,win,Agent26
2025-05-24T17:14:08.194780,p,r,win,Agent11
2025-05-24T17:14:08.878705,p,s,lose,Agent30
2025-05-24T17:14:09.691346,s,s,draw,Agent30
2025-05-24T17:14:15.490212,p,s,lose,Agent30
2025-05-24T17:14:16.360542,p,s,lose,Agent30
2025-05-24T17:14:17.265537,s,s,draw,Agent30
