timestamp,player,ai,result,agent
2025-05-19T21:07:46.791867,p,r,win,AlwaysRockAgent
2025-05-19T21:07:48.830526,p,r,win,AlwaysRockAgent
2025-05-19T21:07:56.776984,p,r,win,AlwaysRockAgent
2025-05-19T21:07:58.802217,p,r,win,AlwaysRockAgent
2025-05-19T21:08:00.809063,p,r,win,AlwaysRockAgent
2025-05-19T21:08:02.813221,p,r,win,AlwaysRockAgent
2025-05-19T21:08:04.839016,p,r,win,AlwaysRockAgent
2025-05-19T21:08:06.841652,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:08.870578,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:10.902709,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:12.934509,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:14.965401,p,r,win,AlwaysRockAgent
2025-05-19T21:08:17.014565,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:19.037504,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:21.042782,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:23.059166,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:25.078881,s,s,draw,FrequencyCounterAgent
2025-05-19T21:08:27.110205,s,r,lose,FrequencyCounterAgent
2025-05-19T21:08:29.123350,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:31.166648,s,r,lose,FrequencyCounterAgent
2025-05-19T21:08:33.187847,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:35.341871,r,r,draw,AlwaysRockAgent
2025-05-19T21:08:37.353022,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:45.043652,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:47.271227,s,r,lose,AlwaysRockAgent
2025-05-19T21:08:55.512151,r,r,draw,AlwaysRockAgent
2025-05-19T21:08:59.013158,r,r,draw,AlwaysRockAgent
