timestamp,player,ai,result,agent
2025-05-23T17:53:12.932515,r,r,draw,AlwaysRockAgent
2025-05-23T17:53:32.415536,p,r,win,AlwaysRockAgent
2025-05-23T17:53:34.430117,p,r,win,AlwaysRockAgent
2025-05-23T17:53:36.496691,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:38.525575,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:40.562038,r,r,draw,AlwaysRockAgent
2025-05-23T17:53:42.582021,r,r,draw,AlwaysRockAgent
2025-05-23T17:53:44.593038,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:46.644591,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:48.643151,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:50.652243,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:52.679834,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:54.744065,p,r,win,TransitionMatrixAgent
2025-05-23T17:53:56.764847,s,r,lose,AlwaysRockAgent
2025-05-23T17:53:58.804905,s,r,lose,AlwaysRockAgent
2025-05-23T17:54:00.868329,p,r,win,AlwaysRockAgent
2025-05-23T17:54:02.881766,r,r,draw,AlwaysRockAgent
2025-05-23T17:54:04.891410,r,r,draw,AlwaysRockAgent
2025-05-23T17:54:07.323953,r,p,lose,attention_agent
2025-05-23T17:54:08.966783,r,r,draw,attention_agent
2025-05-23T17:54:11.008760,r,r,draw,attention_agent
2025-05-23T17:54:12.952344,r,p,lose,TransitionMatrixAgent
2025-05-23T17:54:15.093016,p,p,draw,attention_agent
2025-05-23T17:54:17.106966,p,p,draw,attention_agent
2025-05-23T17:54:20.904735,r,p,lose,attention_agent
2025-05-23T17:54:22.949378,s,p,win,attention_agent
2025-05-23T17:54:25.000955,s,r,lose,attention_agent
2025-05-23T17:54:26.949211,s,r,lose,DecisionTreeAgent
2025-05-23T17:54:28.992019,s,r,lose,DecisionTreeAgent
2025-05-23T17:54:31.019010,s,r,lose,DecisionTreeAgent
