timestamp,player,ai,result,agent
2025-05-19T21:28:34.943075,p,r,win,AlwaysRockAgent
2025-05-19T21:28:36.953599,p,p,draw,AlwaysPaperAgent
2025-05-19T21:28:39.256692,s,p,win,AlwaysPaperAgent
2025-05-19T21:28:41.282186,s,r,lose,PatternMatchAgent
2025-05-19T21:28:43.872113,r,r,draw,PatternMatchAgent
2025-05-19T21:28:45.896495,r,p,lose,PatternMatchAgent
2025-05-19T21:28:47.917952,r,p,lose,PatternMatchAgent
2025-05-19T21:28:49.936460,r,p,lose,PatternMatchAgent
2025-05-19T21:28:51.951918,s,p,win,PatternMatchAgent
2025-05-19T21:28:53.962087,p,p,draw,PatternMatchAgent
2025-05-19T21:28:55.995064,p,r,win,AlwaysRockAgent
2025-05-19T21:28:58.020064,r,p,lose,PatternMatchAgent
2025-05-19T21:29:00.052141,r,p,lose,PatternMatchAgent
2025-05-19T21:29:02.057385,r,p,lose,PatternMatchAgent
2025-05-19T21:29:04.096622,p,p,draw,AlwaysPaperAgent
2025-05-19T21:29:06.119153,p,p,draw,PatternMatchAgent
2025-05-19T21:29:08.132984,s,p,win,PatternMatchAgent
2025-05-19T21:29:10.162704,s,p,win,PatternMatchAgent
2025-05-19T21:29:12.190824,p,p,draw,svm_classifier
2025-05-19T21:29:14.943907,p,p,draw,attention_agent
2025-05-19T21:29:18.502973,p,r,win,svm_classifier
2025-05-19T21:29:20.531107,p,r,win,attention_agent
2025-05-19T21:29:22.521051,s,p,win,PatternMatchAgent
2025-05-19T21:29:24.723074,p,p,draw,PatternMatchAgent
2025-05-19T21:29:26.744911,p,s,lose,MarkovChainAgent
2025-05-19T21:29:28.754744,p,s,lose,MarkovChainAgent
2025-05-19T21:29:30.793985,s,s,draw,AlwaysScissorsAgent
