timestamp,player,ai,result,agent
2025-05-24T00:01:25.934596,r,r,draw,AlwaysRockAgent
2025-05-24T00:01:26.669595,p,r,win,AlwaysRockAgent
2025-05-24T00:01:27.261288,s,s,draw,TransitionMatrixAgent
2025-05-24T00:01:27.708285,r,r,draw,DecayWeightedFreqAgent
2025-05-24T00:01:28.230288,r,s,win,TransitionMatrixAgent
2025-05-24T00:01:29.777547,r,r,draw,DecisionTreeAgent
2025-05-24T00:01:30.340550,s,p,win,DecayWeightedFreqAgent
2025-05-24T00:01:31.092141,r,r,draw,DecisionTreeAgent
2025-05-24T00:01:31.947231,p,p,draw,DecisionTreeAgent
2025-05-24T00:01:32.569230,s,p,win,transformer_agent
2025-05-24T00:01:33.000233,r,p,lose,DecisionTreeAgent
2025-05-24T00:01:33.817079,p,p,draw,svm_classifier
2025-05-24T00:01:34.265076,s,p,win,attention_agent
2025-05-24T00:01:34.715075,r,p,lose,lstm_sequence
2025-05-24T00:01:35.146079,r,p,lose,DecayWeightedFreqAgent
2025-05-24T00:01:35.891477,p,p,draw,DecayWeightedFreqAgent
2025-05-24T00:01:36.331475,s,r,lose,DecisionTreeAgent
2025-05-24T00:01:36.756474,r,p,lose,DecisionTreeAgent
2025-05-24T00:01:37.526474,p,p,draw,DecisionTreeAgent
2025-05-24T00:01:38.066438,s,r,lose,DecisionTreeAgent
2025-05-24T00:01:38.476438,r,p,lose,DecisionTreeAgent
2025-05-24T00:01:39.281439,p,s,lose,DecisionTreeAgent
2025-05-24T00:01:39.692440,s,r,lose,DecisionTreeAgent
2025-05-24T00:01:40.128727,r,p,lose,DecisionTreeAgent
2025-05-24T00:01:40.549727,r,s,win,DecisionTreeAgent
2025-05-24T00:01:41.283730,p,r,win,svm_classifier
2025-05-24T00:01:41.701730,s,s,draw,AlwaysScissorsAgent
2025-05-24T00:01:43.292553,r,p,lose,transformer_agent
2025-05-24T00:01:44.621818,s,s,draw,AlwaysScissorsAgent
2025-05-24T00:01:45.352819,r,s,win,AlwaysScissorsAgent
2025-05-24T00:01:47.225194,r,s,win,TransitionMatrixAgent
2025-05-24T00:01:48.444196,r,p,lose,lstm_sequence
2025-05-24T00:01:48.987798,r,p,lose,lstm_sequence
2025-05-24T00:01:49.422796,r,p,lose,lstm_sequence
2025-05-24T00:01:49.769797,r,p,lose,lstm_sequence
2025-05-24T00:01:51.174905,p,p,draw,lstm_sequence
2025-05-24T00:01:51.653911,s,r,lose,lstm_sequence
