timestamp,player,ai,result,agent
2025-05-19T21:16:44.897531,r,r,draw,AlwaysRockAgent
2025-05-19T21:16:49.054898,p,r,win,AlwaysRockAgent
2025-05-19T21:16:50.071900,s,r,lose,AlwaysRockAgent
2025-05-19T21:16:50.908900,r,r,draw,AlwaysRockAgent
2025-05-19T21:16:51.463333,p,r,win,AlwaysRockAgent
2025-05-19T21:16:52.110334,s,r,lose,AlwaysRockAgent
2025-05-19T21:16:52.639335,r,r,draw,AlwaysRockAgent
2025-05-19T21:16:53.241954,p,r,win,AlwaysRockAgent
2025-05-19T21:16:53.932956,s,p,win,AlwaysPaperAgent
2025-05-19T21:16:54.482956,r,r,draw,AlwaysRockAgent
2025-05-19T21:16:55.235955,p,r,win,AlwaysRockAgent
2025-05-19T21:16:55.953770,s,r,lose,AlwaysRockAgent
2025-05-19T21:16:56.467772,r,r,draw,AlwaysRockAgent
2025-05-19T21:16:57.225773,p,r,win,AlwaysRockAgent
2025-05-19T21:16:57.923717,s,r,lose,AlwaysRockAgent
2025-05-19T21:16:58.434716,r,r,draw,AlwaysRockAgent
2025-05-19T21:17:00.473783,p,r,win,AlwaysRockAgent
2025-05-19T21:17:01.096784,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:01.611784,r,r,draw,AlwaysRockAgent
2025-05-19T21:17:03.803097,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:04.827671,r,r,draw,AlwaysRockAgent
2025-05-19T21:17:06.132673,p,r,win,AlwaysRockAgent
2025-05-19T21:17:06.939499,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:10.659391,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:11.140500,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:11.547498,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:11.931501,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:12.315499,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:12.680499,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:13.000658,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:13.307658,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:13.612658,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:13.897658,s,r,lose,AlwaysRockAgent
2025-05-19T21:17:22.624509,p,r,win,AlwaysRockAgent
2025-05-19T21:17:23.039512,p,r,win,AlwaysRockAgent
2025-05-19T21:17:23.372513,p,r,win,AlwaysRockAgent
2025-05-19T21:17:23.685574,p,r,win,AlwaysRockAgent
2025-05-19T21:17:23.967699,p,r,win,BayesPredictorAgent
2025-05-19T21:17:24.241698,p,r,win,AlwaysRockAgent
2025-05-19T21:17:24.511697,p,r,win,AlwaysRockAgent
2025-05-19T21:17:24.778698,p,r,win,AlwaysRockAgent
2025-05-19T21:17:25.030697,p,r,win,AlwaysRockAgent
2025-05-19T21:17:25.275698,p,r,win,AlwaysRockAgent
2025-05-19T21:17:25.514698,p,r,win,FrequencyCounterAgent
2025-05-19T21:17:25.765573,p,r,win,AlwaysRockAgent
2025-05-19T21:17:26.142750,p,r,win,AlwaysRockAgent
2025-05-23T23:49:31.936492,s,r,lose,AlwaysRockAgent
2025-05-23T23:49:33.981409,s,r,lose,TransitionMatrixAgent
2025-05-23T23:49:34.977406,p,r,win,AlwaysRockAgent
2025-05-23T23:49:35.524063,s,s,draw,TransitionMatrixAgent
2025-05-23T23:49:36.036063,s,p,win,DecisionTreeAgent
2025-05-23T23:49:36.460063,s,r,lose,TransitionMatrixAgent
2025-05-23T23:49:36.806063,s,r,lose,TransitionMatrixAgent
2025-05-23T23:49:37.122062,s,s,draw,AlwaysScissorsAgent
2025-05-23T23:49:38.194760,s,s,draw,AlwaysScissorsAgent
2025-05-23T23:49:38.703760,s,s,draw,AlwaysScissorsAgent
2025-05-23T23:49:39.123757,r,s,win,AlwaysScissorsAgent
2025-05-23T23:49:39.591460,s,r,lose,AlwaysRockAgent
2025-05-23T23:49:40.044462,r,r,draw,TransitionMatrixAgent
2025-05-23T23:49:40.472464,r,s,win,TransitionMatrixAgent
2025-05-23T23:49:43.171686,r,s,win,TransitionMatrixAgent
2025-05-23T23:49:43.845209,p,s,lose,MarkovChainAgent
2025-05-23T23:49:44.319212,s,s,draw,MarkovChainAgent
2025-05-23T23:49:44.774213,r,r,draw,MarkovChainAgent
2025-05-23T23:49:45.613212,p,s,lose,MarkovChainAgent
2025-05-23T23:49:46.116150,s,s,draw,MarkovChainAgent
2025-05-23T23:49:46.607151,r,p,lose,DecisionTreeAgent
2025-05-23T23:49:47.227151,r,s,win,MarkovChainAgent
2025-05-23T23:49:48.064153,p,s,lose,MarkovChainAgent
2025-05-23T23:49:48.753932,p,s,lose,MarkovChainAgent
2025-05-23T23:49:49.180934,s,s,draw,MarkovChainAgent
2025-05-23T23:49:49.702934,r,r,draw,MarkovChainAgent
2025-05-23T23:49:50.598428,p,r,win,attention_agent
2025-05-23T23:49:51.214425,s,s,draw,MarkovChainAgent
2025-05-23T23:49:51.793428,r,r,draw,MarkovChainAgent
2025-05-23T23:49:52.673473,p,s,lose,MarkovChainAgent
2025-05-23T23:49:53.540290,p,s,lose,MarkovChainAgent
2025-05-23T23:49:54.605083,r,s,win,MarkovChainAgent
