timestamp,player,ai,result,agent
2025-05-19T21:19:50.446538,r,r,draw,AlwaysRockAgent
2025-05-19T21:19:51.779752,p,r,win,AlwaysRockAgent
2025-05-19T21:19:53.097711,s,r,lose,AlwaysRockAgent
2025-05-19T21:19:54.096712,r,r,draw,AlwaysRockAgent
2025-05-19T21:19:54.867372,p,r,win,AlwaysRockAgent
2025-05-19T21:19:55.451373,s,r,lose,AlwaysRockAgent
2025-05-19T21:19:55.965373,r,r,draw,AlwaysRockAgent
2025-05-19T21:19:56.697372,p,r,win,AlwaysRockAgent
2025-05-19T21:19:57.276870,s,r,lose,AlwaysRockAgent
2025-05-19T21:19:57.796874,r,r,draw,AlwaysRockAgent
2025-05-19T21:19:58.860874,p,r,win,AlwaysRockAgent
2025-05-19T21:19:59.537158,s,r,lose,AlwaysRockAgent
2025-05-19T21:20:00.015158,r,p,lose,svm_classifier
2025-05-19T21:20:01.731188,p,s,lose,svm_classifier
2025-05-19T21:20:02.310186,s,r,lose,svm_classifier
2025-05-19T21:20:02.828191,r,p,lose,svm_classifier
2025-05-19T21:20:03.544873,p,s,lose,svm_classifier
2025-05-19T21:20:04.107692,s,r,lose,svm_classifier
2025-05-19T21:20:04.526692,r,r,draw,AlwaysRockAgent
2025-05-19T21:20:05.174698,p,p,draw,DecayWeightedFreqAgent
2025-05-19T21:20:05.851472,s,r,lose,transformer_agent
2025-05-19T21:20:06.689473,r,r,draw,DecayWeightedFreqAgent
2025-05-19T21:20:07.522474,p,p,draw,DecayWeightedFreqAgent
2025-05-19T21:20:08.186613,s,s,draw,DecayWeightedFreqAgent
2025-05-19T21:20:08.634615,r,r,draw,DecayWeightedFreqAgent
2025-05-19T21:20:09.388614,p,s,lose,MarkovChainAgent
2025-05-19T21:20:10.001613,s,r,lose,MarkovChainAgent
2025-05-19T21:20:10.465557,r,p,lose,MarkovChainAgent
2025-05-19T21:20:11.175556,p,s,lose,MarkovChainAgent
2025-05-19T21:20:11.868556,s,r,lose,MarkovChainAgent
2025-05-19T21:20:13.022243,r,p,lose,AlwaysPaperAgent
2025-05-19T21:20:13.735245,p,p,draw,DecayWeightedFreqAgent
2025-05-19T21:20:14.378245,s,p,win,AlwaysPaperAgent
2025-05-19T21:20:15.146432,r,p,lose,MarkovChainAgent
2025-05-19T21:20:15.880436,p,s,lose,MarkovChainAgent
2025-05-19T21:20:16.597435,s,s,draw,DecayWeightedFreqAgent
