timestamp,player,ai,result,agent
2025-05-19T20:55:05.776759,r,s,win,attention_agent
2025-05-19T20:55:15.552029,p,s,lose,knn_predictor
2025-05-19T20:55:17.231335,s,r,lose,attention_agent
2025-05-19T20:55:18.100338,r,r,draw,attention_agent
2025-05-19T20:55:20.099633,p,p,draw,attention_agent
2025-05-19T20:55:20.588572,s,p,win,attention_agent
2025-05-19T20:55:21.108571,r,s,win,attention_agent
2025-05-19T20:55:22.183822,r,s,win,attention_agent
2025-05-19T20:55:23.104224,p,p,draw,lstm_sequence
2025-05-19T20:55:23.613164,p,p,draw,attention_agent
2025-05-19T20:55:24.166746,s,r,lose,attention_agent
2025-05-19T20:55:24.656746,s,p,win,attention_agent
2025-05-19T20:55:25.135325,r,r,draw,attention_agent
2025-05-19T20:55:27.171207,r,p,lose,attention_agent
2025-05-19T20:55:27.903210,p,p,draw,attention_agent
2025-05-19T20:55:28.389208,p,r,win,DecisionTreeAgent
2025-05-19T20:55:29.017207,s,r,lose,DecisionTreeAgent
2025-05-19T20:55:29.579697,s,p,win,DecisionTreeAgent
2025-05-19T20:55:30.164698,r,p,lose,DecisionTreeAgent
2025-05-19T20:55:30.682437,r,p,lose,DecisionTreeAgent
2025-05-19T20:55:31.248434,p,s,lose,DecisionTreeAgent
2025-05-19T20:55:31.787156,p,r,win,attention_agent
2025-05-19T20:55:32.301155,s,r,lose,attention_agent
2025-05-19T20:55:32.813922,s,r,lose,attention_agent
2025-05-19T20:55:33.552191,s,p,win,attention_agent
2025-05-19T20:55:34.267193,r,p,lose,attention_agent
2025-05-19T20:55:35.122217,r,p,lose,rnn_predictor
2025-05-19T20:55:35.776830,s,p,win,attention_agent
2025-05-19T20:55:36.397830,r,p,lose,attention_agent
2025-05-19T20:55:37.029401,s,p,win,attention_agent
2025-05-19T20:55:37.670401,r,p,lose,attention_agent
2025-05-19T20:55:38.225772,s,p,win,attention_agent
2025-05-19T20:55:39.153470,s,p,win,attention_agent
2025-05-19T20:55:39.737475,r,p,lose,attention_agent
2025-05-19T20:55:40.715708,s,p,win,attention_agent
2025-05-19T20:55:41.290661,s,p,win,attention_agent
2025-05-19T20:55:41.923661,r,p,lose,attention_agent
2025-05-19T20:55:42.997550,s,p,win,attention_agent
2025-05-19T20:55:43.516127,s,p,win,attention_agent
2025-05-19T20:55:44.178125,r,p,lose,attention_agent
2025-05-19T20:55:45.015499,s,p,win,attention_agent
2025-05-19T20:55:46.419170,s,p,win,lstm_sequence
2025-05-19T20:55:46.472169,r,r,draw,lstm_sequence
2025-05-19T20:56:33.458481,r,r,draw,AlwaysRockAgent
2025-05-19T20:56:33.966707,r,r,draw,AlwaysRockAgent
2025-05-19T20:56:34.362707,r,r,draw,BayesPredictorAgent
