timestamp,player,ai,result,agent
2025-05-19T21:03:10.066470,p,r,win,AlwaysRockAgent
2025-05-19T21:03:16.918247,p,s,lose,PatternMatchAgent
2025-05-19T21:03:18.931349,p,r,win,AlwaysRockAgent
2025-05-19T21:03:20.950153,p,r,win,AlwaysRockAgent
2025-05-19T21:03:22.989625,p,r,win,AlwaysRockAgent
2025-05-19T21:03:24.999828,p,r,win,AlwaysRockAgent
2025-05-19T21:03:27.024203,p,r,win,AlwaysRockAgent
2025-05-19T21:03:29.048924,s,r,lose,AlwaysRockAgent
2025-05-19T21:03:31.066633,s,r,lose,AlwaysRockAgent
2025-05-19T21:03:34.110313,p,r,win,AlwaysRockAgent
2025-05-19T21:03:36.124473,r,r,draw,AlwaysRockAgent
2025-05-19T21:03:38.134753,r,r,draw,AlwaysRockAgent
2025-05-19T21:03:40.151963,r,r,draw,AlwaysRockAgent
2025-05-19T21:03:42.176821,p,r,win,AlwaysRockAgent
2025-05-19T21:03:44.194595,s,p,win,AlwaysPaperAgent
2025-05-19T21:03:46.202259,s,p,win,AlwaysPaperAgent
2025-05-19T21:03:48.215760,s,p,win,AlwaysPaperAgent
2025-05-19T21:03:50.245509,s,p,win,AlwaysPaperAgent
2025-05-19T21:03:52.266328,s,r,lose,knn_predictor
2025-05-19T21:03:54.295315,s,p,win,AlwaysPaperAgent
2025-05-19T21:03:56.308934,s,p,win,AlwaysPaperAgent
2025-05-19T21:03:58.338596,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:00.344867,s,r,lose,TransitionMatrixAgent
2025-05-19T21:04:02.366243,p,p,draw,AlwaysPaperAgent
2025-05-19T21:04:04.376303,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:06.407984,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:08.434932,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:10.455750,p,p,draw,AlwaysPaperAgent
2025-05-19T21:04:12.486319,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:14.496168,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:16.504439,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:18.527172,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:20.535727,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:28.815574,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:30.823171,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:32.825160,s,p,win,AlwaysPaperAgent
2025-05-19T21:04:34.828250,p,p,draw,AlwaysPaperAgent
2025-05-19T21:04:36.830295,p,p,draw,AlwaysPaperAgent
2025-05-19T21:04:38.840926,p,s,lose,knn_predictor
2025-05-19T21:04:40.936668,p,s,lose,rnn_predictor
2025-05-19T21:04:42.895703,p,r,win,BayesPredictorAgent
2025-05-24T16:45:48.790358,r,r,draw,Agent1
