timestamp,player,ai,result,agent
2025-05-23T23:46:39.535028,r,r,draw,AlwaysRockAgent
2025-05-23T23:46:41.406754,p,r,win,AlwaysRockAgent
2025-05-23T23:46:42.634614,s,r,lose,AlwaysRockAgent
2025-05-23T23:46:43.310611,s,s,draw,TransitionMatrixAgent
2025-05-23T23:46:43.751563,s,r,lose,TransitionMatrixAgent
2025-05-23T23:46:44.178566,r,r,draw,TransitionMatrixAgent
2025-05-23T23:46:45.869230,r,s,win,TransitionMatrixAgent
2025-05-23T23:46:46.379230,r,s,win,TransitionMatrixAgent
2025-05-23T23:46:47.458232,p,r,win,AlwaysRockAgent
2025-05-23T23:46:47.882230,s,r,lose,TransitionMatrixAgent
2025-05-23T23:46:48.392312,s,r,lose,TransitionMatrixAgent
2025-05-23T23:46:49.076313,r,r,draw,TransitionMatrixAgent
2025-05-23T23:46:49.898312,p,s,lose,TransitionMatrixAgent
2025-05-23T23:46:50.498345,p,r,win,TransitionMatrixAgent
2025-05-23T23:46:50.913345,p,r,win,svm_classifier
2025-05-23T23:46:51.366345,p,r,win,TransitionMatrixAgent
2025-05-23T23:46:51.790343,s,s,draw,knn_predictor
2025-05-23T23:46:52.178344,s,r,lose,knn_predictor
2025-05-23T23:46:52.550072,r,p,lose,knn_predictor
2025-05-23T23:46:52.979074,r,s,win,PatternMatchAgent
2025-05-23T23:46:53.681073,p,p,draw,knn_predictor
2025-05-23T23:46:54.224072,s,r,lose,knn_predictor
2025-05-23T23:46:54.683346,r,r,draw,knn_predictor
2025-05-23T23:46:55.222346,r,p,lose,knn_predictor
2025-05-23T23:46:55.653350,s,s,draw,knn_predictor
2025-05-23T23:46:56.054349,s,r,lose,AlwaysRockAgent
2025-05-23T23:46:56.523347,p,s,lose,PatternMatchAgent
2025-05-23T23:46:56.791231,p,p,draw,knn_predictor
2025-05-23T23:46:57.376231,s,s,draw,knn_predictor
2025-05-23T23:46:57.798232,r,r,draw,knn_predictor
2025-05-23T23:46:58.198232,r,p,lose,svm_classifier
2025-05-23T23:46:58.553231,s,s,draw,DecisionTreeAgent
2025-05-23T23:46:58.864418,s,r,lose,DecisionTreeAgent
2025-05-23T23:46:59.359108,r,p,lose,DecisionTreeAgent
2025-05-23T23:47:01.153934,p,p,draw,DecisionTreeAgent
2025-05-23T23:47:01.515114,s,r,lose,DecisionTreeAgent
2025-05-23T23:47:01.874112,s,r,lose,DecisionTreeAgent
2025-05-23T23:47:02.225114,r,p,lose,DecisionTreeAgent
2025-05-23T23:47:02.594114,r,p,lose,DecisionTreeAgent
2025-05-23T23:47:02.956113,s,s,draw,DecisionTreeAgent
2025-05-23T23:47:03.345154,s,r,lose,DecisionTreeAgent
2025-05-23T23:47:03.706844,s,p,win,BayesPredictorAgent
2025-05-23T23:47:04.582840,p,p,draw,knn_predictor
2025-05-23T23:47:05.166841,s,s,draw,DecisionTreeAgent
2025-05-23T23:47:05.576794,r,r,draw,DecisionTreeAgent
2025-05-23T23:47:06.052891,s,p,win,DecisionTreeAgent
2025-05-23T23:47:06.425890,s,r,lose,knn_predictor
2025-05-23T23:47:06.969888,s,p,win,knn_predictor
2025-05-23T23:47:07.367888,r,p,lose,knn_predictor
2025-05-23T23:47:08.316495,p,p,draw,knn_predictor
