timestamp,player,ai,result,agent
2025-05-24T16:59:30.641368,p,r,win,Agent1
2025-05-24T16:59:32.670150,s,r,lose,Agent1
2025-05-24T16:59:34.699208,r,s,win,Agent3
2025-05-24T16:59:36.723357,p,p,draw,Agent19
2025-05-24T16:59:38.742748,p,s,lose,Agent19
2025-05-24T16:59:40.744375,s,r,lose,Agent5
2025-05-24T16:59:42.752351,r,p,lose,Agent5
2025-05-24T16:59:44.760198,p,s,lose,Agent27
2025-05-24T16:59:46.779194,p,r,win,Agent5
2025-05-24T16:59:48.807074,r,s,win,Agent19
2025-05-24T16:59:50.833630,r,r,draw,Agent27
2025-05-24T16:59:52.864131,r,p,lose,Agent27
2025-05-24T16:59:54.873236,s,s,draw,Agent27
2025-05-24T16:59:56.920584,s,s,draw,Agent38
2025-05-24T16:59:59.040033,s,s,draw,Agent14
2025-05-24T17:00:05.274368,s,s,draw,Agent14
2025-05-24T17:00:09.443194,s,s,draw,Agent17
2025-05-24T17:00:11.468131,p,r,win,Agent14
2025-05-24T17:00:13.485241,p,p,draw,Agent17
2025-05-24T17:00:25.387109,p,p,draw,Agent17
2025-05-24T17:00:27.402374,p,p,draw,Agent17
2025-05-24T17:00:29.407303,s,p,win,Agent17
2025-05-24T17:00:31.431682,p,p,draw,Agent27
2025-05-24T17:00:33.456777,p,s,lose,Agent27
2025-05-24T17:00:35.486633,p,s,lose,Agent27
2025-05-24T17:00:37.514948,p,s,lose,Agent27
