timestamp,player,ai,result,agent
2025-05-19T20:47:26.028167,r,s,win,AlwaysScissorsAgent
2025-05-24T16:57:19.854066,r,r,draw,Agent1
2025-05-24T16:57:20.798799,p,p,draw,Agent4
2025-05-24T16:57:21.346491,s,r,lose,Agent1
2025-05-24T16:57:21.918775,r,r,draw,Agent1
2025-05-24T16:57:22.677046,p,r,win,Agent1
2025-05-24T16:57:23.083124,s,p,win,Agent4
2025-05-24T16:57:23.564816,r,r,draw,Agent1
2025-05-24T16:57:24.229637,s,r,lose,Agent1
2025-05-24T16:57:24.679500,r,r,draw,Agent1
2025-05-24T16:57:25.065554,s,r,lose,Agent1
2025-05-24T16:57:25.453753,r,r,draw,Agent1
2025-05-24T16:57:25.823844,r,r,draw,Agent1
2025-05-24T16:57:26.904164,r,r,draw,Agent32
2025-05-24T16:57:27.511333,p,r,win,Agent32
2025-05-24T16:57:27.955515,s,r,lose,Agent1
2025-05-24T16:57:28.306720,r,r,draw,Agent1
2025-05-24T16:57:29.214903,s,r,lose,Agent1
2025-05-24T16:57:30.425595,r,r,draw,Agent1
2025-05-24T16:57:31.048932,p,r,win,Agent1
2025-05-24T16:57:31.462503,s,r,lose,Agent1
2025-05-24T16:57:31.814693,r,r,draw,Agent1
2025-05-24T16:57:32.285945,r,r,draw,Agent10
2025-05-24T16:57:32.941733,p,s,lose,Agent10
2025-05-24T16:57:33.317883,s,r,lose,Agent9
2025-05-24T16:57:33.690720,r,p,lose,Agent9
2025-05-24T16:57:34.345026,s,r,lose,Agent9
2025-05-24T16:57:34.929295,r,s,win,Agent3
2025-05-24T16:57:35.533670,r,r,draw,Agent9
2025-05-24T16:57:35.991770,s,s,draw,Agent9
2025-05-24T16:57:36.410050,r,p,lose,Agent9
2025-05-24T16:57:36.930731,s,r,lose,Agent9
2025-05-24T16:57:37.605667,p,p,draw,Agent10
2025-05-24T16:57:38.004834,s,s,draw,Agent18
2025-05-24T16:57:38.402977,r,p,lose,Agent9
2025-05-24T16:57:39.055341,s,r,lose,Agent9
2025-05-24T16:57:39.737155,r,r,draw,Agent37
2025-05-24T16:57:40.405067,p,r,win,Agent9
2025-05-24T16:57:40.769753,s,r,lose,Agent10
2025-05-24T16:57:41.129039,r,p,lose,Agent6
