timestamp,player,ai,result,agent
2025-05-19T20:49:14.170963,r,r,draw,AlwaysRockAgent
2025-05-19T20:49:17.941608,p,s,lose,DecisionTreeAgent
2025-05-19T20:49:20.290366,s,r,lose,AlwaysRockAgent
2025-05-19T20:49:22.005495,s,p,win,FrequencyCounterAgent
2025-05-19T20:49:22.792370,r,r,draw,FrequencyCounterAgent
2025-05-19T20:49:23.971786,r,p,lose,AlwaysPaperAgent
2025-05-19T20:49:25.105016,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:26.125087,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:27.605482,s,p,win,FrequencyCounterAgent
2025-05-19T20:49:28.429550,s,r,lose,knn_predictor
2025-05-19T20:49:28.904551,r,r,draw,FrequencyCounterAgent
2025-05-19T20:49:29.573619,s,p,win,FrequencyCounterAgent
2025-05-19T20:49:30.101938,r,r,draw,knn_predictor
2025-05-19T20:49:30.836937,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:31.628997,s,p,win,FrequencyCounterAgent
2025-05-19T20:49:32.223147,r,r,draw,FrequencyCounterAgent
2025-05-19T20:49:33.022148,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:33.634339,s,p,win,FrequencyCounterAgent
2025-05-19T20:49:34.172339,r,r,draw,FrequencyCounterAgent
2025-05-19T20:49:34.895737,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:35.501737,s,p,win,FrequencyCounterAgent
2025-05-19T20:49:36.078366,r,p,lose,MarkovChainAgent
2025-05-19T20:49:37.013702,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:37.760702,s,r,lose,rnn_predictor
2025-05-19T20:49:38.273026,r,r,draw,FrequencyCounterAgent
2025-05-19T20:49:39.492994,p,p,draw,knn_predictor
2025-05-19T20:49:40.221871,s,r,lose,lstm_sequence
2025-05-19T20:49:40.581870,r,r,draw,FrequencyCounterAgent
2025-05-19T20:49:41.314659,p,p,draw,FrequencyCounterAgent
2025-05-19T20:49:41.982660,s,r,lose,BayesPredictorAgent
2025-05-19T20:49:42.589834,r,r,draw,FrequencyCounterAgent
