timestamp,player,ai,result,agent
2025-05-23T23:52:59.391283,s,r,lose,AlwaysRockAgent
2025-05-23T23:53:01.673368,s,r,lose,AlwaysRockAgent
2025-05-23T23:53:02.880369,p,r,win,AlwaysRockAgent
2025-05-23T23:53:03.456369,s,r,lose,AlwaysRockAgent
2025-05-23T23:53:03.959518,r,r,draw,AlwaysRockAgent
2025-05-23T23:53:04.637517,r,p,lose,knn_predictor
2025-05-23T23:53:05.425518,p,p,draw,knn_predictor
2025-05-23T23:53:05.859516,s,p,win,knn_predictor
2025-05-23T23:53:06.335756,r,r,draw,AlwaysRockAgent
2025-05-23T23:53:07.020756,p,p,draw,PatternMatchAgent
2025-05-23T23:53:07.444756,s,s,draw,PatternMatchAgent
2025-05-23T23:53:07.834756,r,r,draw,PatternMatchAgent
2025-05-23T23:53:08.534153,p,p,draw,PatternMatchAgent
2025-05-23T23:53:08.957153,s,r,lose,FrequencyCounterAgent
2025-05-23T23:53:10.952583,s,r,lose,FrequencyCounterAgent
2025-05-23T23:53:11.956583,p,r,win,AlwaysRockAgent
2025-05-23T23:53:13.351372,s,r,lose,FrequencyCounterAgent
2025-05-23T23:53:13.837372,r,r,draw,FrequencyCounterAgent
2025-05-23T23:53:14.397374,s,r,lose,FrequencyCounterAgent
2025-05-23T23:53:15.328634,p,r,win,FrequencyCounterAgent
2025-05-23T23:53:15.971632,s,r,lose,PatternMatchAgent
2025-05-23T23:53:16.404633,r,p,lose,PatternMatchAgent
2025-05-23T23:53:16.912922,s,s,draw,PatternMatchAgent
2025-05-23T23:53:17.593243,r,r,draw,PatternMatchAgent
2025-05-23T23:53:17.993244,r,p,lose,PatternMatchAgent
2025-05-23T23:53:18.299245,r,s,win,PatternMatchAgent
2025-05-23T23:53:18.736245,s,r,lose,PatternMatchAgent
2025-05-23T23:53:19.220801,s,p,win,PatternMatchAgent
2025-05-23T23:53:19.863443,p,p,draw,MarkovChainAgent
2025-05-23T23:53:20.355444,p,r,win,MarkovChainAgent
2025-05-23T23:53:20.967444,p,r,win,FrequencyCounterAgent
2025-05-23T23:53:21.544488,p,s,lose,PatternMatchAgent
2025-05-23T23:53:21.982491,p,r,win,PatternMatchAgent
2025-05-23T23:53:22.402491,p,r,win,AlwaysRockAgent
2025-05-23T23:53:23.496489,s,s,draw,PatternMatchAgent
2025-05-23T23:53:23.993703,r,s,win,PatternMatchAgent
2025-05-23T23:53:24.764703,r,s,win,PatternMatchAgent
2025-05-23T23:53:25.226706,s,s,draw,BayesPredictorAgent
2025-05-23T23:53:25.580706,r,p,lose,BayesPredictorAgent
2025-05-23T23:53:25.991730,s,s,draw,BayesPredictorAgent
2025-05-23T23:53:26.327733,r,p,lose,BayesPredictorAgent
2025-05-23T23:53:27.424729,s,p,win,lstm_sequence
2025-05-23T23:53:27.985480,r,p,lose,BayesPredictorAgent
2025-05-23T23:53:28.494172,r,r,draw,BayesPredictorAgent
2025-05-23T23:53:29.039172,s,r,lose,TransitionMatrixAgent
2025-05-23T23:53:29.437171,r,r,draw,FrequencyCounterAgent
2025-05-23T23:53:29.817172,r,r,draw,TransitionMatrixAgent
2025-05-23T23:53:30.232253,s,r,lose,svm_classifier
2025-05-23T23:53:30.929822,r,p,lose,TransitionMatrixAgent
